time_scan_scan,score,
63.7003,1.01135,
35.3401,0.506823,
128.561,3.5718,
31.9936,0.457472,
29.4033,0.247912,
77.8197,0.177293,
24.7011,0.272587,
78.7399,0.177776,
85.9157,0.147971,
67.3549,0.135629,
27.8054,0.144345,
22.95,0.175481,
33.5773,0.183409,
25.006,0.110764,
61.4412,0.199356,
67.0433,0.174274,
22.0509,0.158237,
24.8681,2.39375,
55.1284,3.02784,
23.9181,0.649019,
99.1403,0.277258,
20.9831,0.630894,
65.3311,0.503265,
21.1127,0.239164,
63.666,0.267157,
105.936,0.310923,
61.7312,0.108875,
21.2536,0.188976,
23.0205,0.178145,
62.5043,0.134144,
20.7865,0.144013,
28.4289,0.135398,
22.0817,0.152656,
66.8459,0.143535,
24.364,7.57607,
26.1121,0.349001,
32.5394,0.689291,
25.5422,1.00979,
87.5329,0.944392,
24.8575,0.265154,
73.935,0.509322,
75.2673,0.226254,
25.8145,1.3442,
24.7889,0.225006,
77.4572,0.316486,
25.3504,0.363013,
85.836,0.305207,
78.257,0.256499,
25.0381,0.137962,
82.3593,0.298493,
80.3291,0.137979,
85.1117,0.16421,
23.3192,0.138893,
20.7931,0.281402,
23.4116,0.161057,
58.871,0.104329,
60.3797,0.147826,
25.7008,0.125802,
55.389,0.100032,
19.7515,0.140425,
63.3621,0.349326,
27.4147,0.177326,
54.4476,6.36672,
28.8503,0.525351,
63.2092,1.75636,
21.5703,0.173451,
20.0468,0.220684,
27.5197,0.139851,
20.0273,0.16691,
19.1502,0.20526,
18.5732,0.764474,
25.705,0.144114,
31.2066,0.227948,
66.9437,0.326491,
20.6577,0.182415,
23.583,0.433378,
22.917,0.453789,
19.8715,0.211638,
65.5656,0.212547,
49.1537,0.27546,
17.4082,0.640023,
16.4447,0.301637,
16.463,0.178841,
54.8241,0.189778,
71.5501,1.24178,
56.703,0.168675,
54.1486,0.147251,
18.1642,0.355762,
67.8728,0.178833,
20.1981,0.209401,
31.8044,0.204898,
19.9829,0.248303,
56.7119,0.183461,
54.3672,0.391958,
31.3476,16.2241,
67.7071,0.449001,
62.7299,1.56636,
56.1638,0.231302,
18.5515,0.182198,
56.7205,0.260587,
62.9449,0.33366,
25.0038,0.143536,
27.9792,0.252995,
19.5556,0.19289,
21.442,0.350101,
76.3993,0.162927,
26.4701,1.28378,
22.1333,0.497318,
62.9039,0.440209,
20.0808,0.286073,
31.3328,0.191156,
73.7593,0.194666,
123.003,0.594894,
119.05,0.264282,
66.5061,0.63793,
